channel,message_id,date,text,has_media,media_type,media_path
ZemenExpress,6990,2025-06-21T08:07:31+00:00,,True,photo,..\..\data\raw\media\ZemenExpress_6990.jpg
ZemenExpress,6989,2025-06-21T08:07:31+00:00,,True,photo,..\..\data\raw\media\ZemenExpress_6989.jpg
ZemenExpress,6988,2025-06-21T08:07:31+00:00,,True,photo,..\..\data\raw\media\ZemenExpress_6988.jpg
ZemenExpress,6987,2025-06-21T08:07:31+00:00,"💥💥...................................💥💥

3pcs Bottle Stopper 

👍በማንኛውም ጠርሙስ ጫፍ የሚገጠም 
👍ለዘይት እና መሰል ነገሮች መቀነሻ የሚሆን
👍በአግባቡ እየመጠንን ለመጠቀም ተመራጭ

ዋጋ፦  💲🏷  3ፍሬ➡️ 400 ብር

♦️ውስን ፍሬ ነው ያለው 🔥🔥🔥

🏢 አድራሻ👉

📍♦️#መገናኛ_መሰረት_ደፋር_ሞል_ሁለተኛ_ፎቅ ቢሮ ቁ. S05/S06


     💧💧💧💧


    📲 0902660722
    📲 0928460606 

🔖
💬በTelegram ለማዘዝ ⤵️ ይጠቀሙ🔽

@zemencallcenter 

@zemenexpressadmin

ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://telegram.me/zemenexpress

💥💥...................................💥💥",True,photo,..\..\data\raw\media\ZemenExpress_6987.jpg
ZemenExpress,6986,2025-06-21T08:07:11+00:00,"💥💥...................................💥💥

3pcs Bottle Stopper 

👍በማንኛውም ጠርሙስ ጫፍ የሚገጠም 
👍ለዘይት እና መሰል ነገሮች መቀነሻ የሚሆን
👍በአግባቡ እየመጠንን ለመጠቀም ተመራጭ

ዋጋ፦  💲🏷  3ፍሬ➡️ 400 ብር

♦️ውስን ፍሬ ነው ያለው 🔥🔥🔥

🏢 አድራሻ👉

📍♦️#መገናኛ_መሰረት_ደፋር_ሞል_ሁለተኛ_ፎቅ ቢሮ ቁ. S05/S06


     💧💧💧💧


    📲 0902660722
    📲 0928460606 

🔖
💬በTelegram ለማዘዝ ⤵️ ይጠቀሙ🔽

@zemencallcenter 

@zemenexpressadmin

ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://telegram.me/zemenexpress

💥💥...................................💥💥",True,document,
ZemenExpress,6985,2025-06-21T05:42:46+00:00,"💥💥...................................💥💥

📌1 pairs Sneaker Crease Protector

ዋጋ፦  💵🏷 400 ብር

♦️ውስን ፍሬ ነው ያለው🔥🔥🔥

🏢 አድራሻ👉

📍♦️#መገናኛ_መሰረት_ደፋር_ሞል_ሁለተኛ_ፎቅ ቢሮ ቁ. S05/S06


     💧💧💧💧


    📲 0902660722
    📲 0928460606 

🔖
💬በTelegram ለማዘዝ ⤵️ ይጠቀሙ🔽

@zemencallcenter 

@zemenexpressadmin

ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://telegram.me/zemenexpress

💥💥...................................💥💥",True,photo,..\..\data\raw\media\ZemenExpress_6985.jpg
ZemenExpress,6984,2025-06-21T05:42:19+00:00,,True,photo,..\..\data\raw\media\ZemenExpress_6984.jpg
ZemenExpress,6983,2025-06-21T05:42:19+00:00,"💥💥...................................💥💥

📌1 pairs Sneaker Crease Protector

ዋጋ፦  💵🏷 400 ብር

♦️ውስን ፍሬ ነው ያለው🔥🔥🔥

🏢 አድራሻ👉

📍♦️#መገናኛ_መሰረት_ደፋር_ሞል_ሁለተኛ_ፎቅ ቢሮ ቁ. S05/S06


     💧💧💧💧


    📲 0902660722
    📲 0928460606 

🔖
💬በTelegram ለማዘዝ ⤵️ ይጠቀሙ🔽

@zemencallcenter 

@zemenexpressadmin

ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://telegram.me/zemenexpress

💥💥...................................💥💥",True,photo,..\..\data\raw\media\ZemenExpress_6983.jpg
ZemenExpress,6982,2025-06-18T06:01:10+00:00,"💥💥...................................💥💥

📌Imitation Volcano Humidifier with LED Light

👍በኤሌክትሪክ:የሚሰራ ለቤት መልካም መዓዛን የሚሰጥ

ዋጋ፦  💲🏷  1400 ብር

📍ውስን ፍሬ ነው ያለን🔥🔥🔥

🏢 አድራሻ👉

📍♦️#መገናኛ_መሰረት_ደፋር_ሞል_ሁለተኛ_ፎቅ ቢሮ ቁ. S05/S06


     💧💧💧💧


    📲 0902660722
    📲 0928460606 

🔖
💬በTelegram ለማዘዝ ⤵️ ይጠቀሙ🔽

@zemencallcenter 

@zemenexpressadmin

ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://telegram.me/zemenexpress

💥💥...................................💥💥",True,document,
ZemenExpress,6981,2025-06-16T12:21:00+00:00,"💥💥...................................💥💥

📌 Baby Carrier

👍በፈለጉት አቅጣጫ ልጅዎን  በምቾት ማዘል ያስችልዎታል

ዋጋ፦  💲🏷  2400 ብር

📍ውስን ፍሬ ነው ያለን🔥🔥🔥

🏢 አድራሻ👉

📍♦️#መገናኛ_መሰረት_ደፋር_ሞል_ሁለተኛ_ፎቅ ቢሮ ቁ. S05/S06


     💧💧💧💧


    📲 0902660722
    📲 0928460606 

🔖
💬በTelegram ለማዘዝ ⤵️ ይጠቀሙ🔽

@zemencallcenter 

@zemenexpressadmin

ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://telegram.me/zemenexpress

💥💥...................................💥💥",True,document,
